Date,volume_btc,trade_value_krw,KOSPI_Volatility,USD_KRW
2025-01-15,4591.15545682,666947108371.5464,19.26,1456.5
2025-01-16,4318.11363256,631223148335.6401,18.14,1456.16
2025-01-17,6174.01716811,931480732263.936,17.68,1457.04
2025-01-21,6582.3988793299995,1020354409879.3427,18.3,1435.29
2025-01-22,3037.3257942399996,474632946854.13165,17.67,1435.77
2025-01-23,5833.03598432,904984701166.8615,17.79,1434.29
2025-01-24,4191.46758051,655851914785.9396,17.96,1429.17
2025-01-27,6608.64540975,1016912040414.3599,18.126,1433.83
2025-01-28,2562.8077865,398214068678.6487,18.292,1446.42
2025-01-29,2550.15208216,400893107105.572,18.458,1441.85
2025-01-30,3213.97963755,512112273279.971,18.624,1442.16
2025-01-31,2687.19505234,424782983670.689,18.79,1453.86
2025-02-03,13181.94797542,2004684322867.8333,22.08,1461.21
2025-02-04,5349.64812427,833187313279.9724,20.91,1451.02
2025-02-05,2802.7481928400002,429383129409.21497,20.06,1442.37
2025-02-06,2504.3611256,380992075821.0418,19.12,1447.05
2025-02-07,3947.1101256800002,594537405923.0607,19.29,1453.97
2025-02-10,2108.89083902,310943486832.4334,19.95,1451.0
2025-02-11,2202.74578545,324538841592.2582,19.28,1452.31
2025-02-12,3282.07771638,477453564591.6518,18.8,1453.49
2025-02-13,2052.68415749,299578235598.16504,18.03,1446.95
2025-02-14,1987.41992877,290160892125.75415,17.7,1439.89
2025-02-18,2326.20941901,334343930604.03595,17.88,1438.83
2025-02-19,1779.46244,254902420110.13986,18.49,1441.06
2025-02-20,1352.45905881,195365580345.17798,18.64,1434.71
2025-02-21,2313.68518477,334088192607.8844,18.64,1434.06
2025-02-24,5811.5399783600005,795919725958.5637,19.48,1429.77
2025-02-25,12352.04412546,1606145487757.8154,19.6,1433.79
2025-02-26,6441.6508785099995,811503144642.0344,19.93,1433.2
2025-02-27,5733.200172299999,714020150954.1858,19.32,1447.35
2025-02-28,10503.493653090001,1263570151607.69,22.86,1459.04
2025-03-03,10962.1631609,1499599742664.294,23.165,1456.49
2025-03-04,8171.98898729,1044689096292.7703,23.47,1458.46
2025-03-05,5448.75796774,722036111598.4221,22.17,1445.21
2025-03-06,5096.328103,688104376398.261,21.27,1447.34
2025-03-07,7160.71829198,939420649376.6577,21.97,1449.3
2025-03-10,7942.66864954,960309456736.5422,22.13,1456.74
2025-03-11,7894.9823859,940333601293.3323,24.08,1453.07
2025-03-12,4537.31158911,557247020186.068,23.08,1451.7
2025-03-13,3247.5130818400003,396299602072.94995,23.11,1455.76
2025-03-14,2847.3150466800003,348677382312.2976,22.0,1451.76
2025-03-17,1723.81147019,210912570727.1754,20.85,1444.71
2025-03-18,2262.18586259,274128141290.26273,20.41,1451.28
2025-03-19,2920.66531211,361006995933.37646,20.33,1462.15
2025-03-20,3070.59966763,386622812952.8385,19.6,1467.77
2025-03-21,1577.3891360500002,196142324783.25076,19.66,1466.49
2025-03-24,3118.4280741499997,401445399210.6019,19.68,1466.91
2025-03-25,2115.58982949,272562440665.94153,19.64,1465.32
2025-03-26,1866.5298384,240779719516.2789,19.67,1467.25
2025-03-27,1568.77154249,201645859909.43036,20.44,1463.9
2025-03-28,2294.24250346,290628323861.5061,21.18,1469.2
2025-03-31,2037.98482376,249829692344.82245,25.35,1474.44
2025-04-01,2221.6336466000002,276878752507.28455,24.21,1471.0
2025-04-02,3433.4993360099998,432970795286.02734,24.5,1462.06
2025-04-03,3225.8106786,399297466210.1017,26.09,1450.55
2025-04-04,3350.55950586,411058543349.03894,26.8,1457.76
2025-04-07,9718.2336043,1128111653563.26,44.23,1470.22
2025-04-08,3592.26146505,423276694684.2265,37.83,1477.97
2025-04-09,6477.31864245,758111620099.5225,40.97,1472.75
2025-04-10,3776.7341967700004,453970156926.0127,28.2,1450.37
2025-04-11,3038.9623268699997,364158976401.8307,31.47,1418.79
2025-04-14,2334.67448058,286617788869.51904,28.32,1422.56
2025-04-15,2306.73678161,285260757299.0194,24.48,1427.16
2025-04-16,2051.34823211,250526920959.69843,26.62,1415.24
2025-04-17,1359.87505288,166263690815.9929,24.59,1416.1
2025-04-18,758.44009633,92962548982.647,23.66,1423.49
2025-04-21,3136.54109271,392436725634.3318,25.08,1420.52
2025-04-22,4253.7333571399995,549587194349.69653,24.85,1425.0
2025-04-23,4133.7864074,551971610479.7996,22.74,1425.88
2025-04-24,2405.2255391500003,320874981183.76855,22.79,1432.97
2025-04-25,2728.33317117,370406943504.0803,21.43,1440.72
2025-04-28,2359.5950708600003,320812852674.37195,21.23,1436.31
2025-04-29,1767.70168839,241560579628.34277,20.7,1432.01
2025-04-30,1836.91610515,249706900536.34845,20.74,1425.68
2025-05-01,2349.19260614,324436244594.8369,20.835,1437.58
2025-05-02,2126.62990467,295691349718.3003,20.93,1398.89
2025-05-05,1946.00606877,261648652747.3058,20.956666666666667,1375.11
2025-05-06,1518.20442367,204625238031.21002,20.983333333333334,1377.15
2025-05-07,1876.5507217999998,257446652991.35736,21.01,1391.86
2025-05-08,4101.15071248,577196570517.7068,19.76,1403.61
2025-05-09,3514.26480261,506939549257.22754,19.48,1398.51
2025-05-12,3498.9260239,509596449187.0891,19.2,1417.77
2025-05-13,2383.97572813,346174517888.8795,17.86,1418.65
2025-05-14,1799.33120581,262083304420.46838,17.86,1398.83
2025-05-15,2362.89495204,342634995074.1881,18.29,1397.65
2025-05-16,1910.06301949,279488785294.5375,18.13,1401.19
2025-05-19,3482.19039874,514451516820.1036,19.69,1388.48
2025-05-20,2675.22553507,399408107945.6516,19.18,1393.36
2025-05-21,4096.65518235,617096924402.9241,19.48,1371.64
2025-05-22,4425.67022782,679864728823.3792,19.95,1381.55
2025-05-23,4344.61456763,662256185492.3851,19.59,1365.03
2025-05-27,2330.84103018,353701492874.54535,20.01,1375.85
2025-05-28,1663.0028861699998,250798923034.99863,20.67,1374.6
2025-05-29,2375.4677633700003,355477922612.32666,21.97,1371.75
2025-05-30,2886.90236598,426659521622.5753,22.55,1381.13
2025-06-02,1654.13057068,243814351922.10736,22.71,1376.42
2025-06-03,1338.93499805,197885601586.8001,22.37,1378.45
2025-06-04,1472.45270642,215690597121.43015,22.03,1364.16
2025-06-05,2938.8445531300003,422680985630.38684,22.49,1355.97
2025-06-06,1966.26692764,281812655535.3102,23.665,1360.28
2025-06-09,2023.2729932399998,298995257344.72595,24.84,1354.99
2025-06-10,1926.60252439,289004528746.0123,24.34,1367.55
2025-06-11,1492.8586763899998,224586783864.95856,22.77,1368.29
2025-06-12,2120.37746966,313497904174.7705,22.17,1356.47
2025-06-13,3061.05939797,443755455669.6358,24.91,1364.93
2025-06-16,1791.2051674099998,263792978478.25787,24.77,1357.55
2025-06-17,1949.7269575599998,285101744794.1,25.82,1370.29
2025-06-18,1318.17661921,191442389012.79947,25.78,1372.11
2025-06-20,1719.45431046,249288756927.75656,23.97,1372.45
2025-06-23,3278.2627532300003,466748395311.92896,24.76,1382.61
2025-06-24,2157.85535309,312936429626.4868,25.76,1359.0
2025-06-25,1778.8867591,261451032649.31277,25.69,1362.17
2025-06-26,1311.76728523,193399175933.3662,25.12,1355.64
2025-06-27,1073.268786,157699541698.58008,24.27,1360.72
2025-06-30,1275.49737067,187617060129.6573,23.99,1353.5
2025-07-01,1325.77247388,193099548172.07333,23.96,1358.06
2025-07-02,1779.73351056,261333717996.757,23.95,1356.9
2025-07-03,1872.8006610099999,278386885791.3327,23.96,1364.65
2025-07-07,1224.69928035,181417451070.48868,24.87,1369.6
2025-07-08,998.3804099500001,147788908821.6797,23.52,1372.74
2025-07-09,1875.8459790000002,280083890875.1797,21.85,1375.04
2025-07-10,3390.4853239100003,517812142518.1581,21.01,1373.37
2025-07-11,5034.992523909999,796073105604.2559,21.66,1375.37
2025-07-14,4770.1773291,784632537154.1951,22.56,1382.51
2025-07-15,4315.12639841,694306607387.1327,22.47,1385.39
2025-07-16,2547.11713138,411970054120.8784,22.27,1390.84
2025-07-17,3233.80607003,523317315305.1909,21.74,1391.04
2025-07-18,4009.72794384,650611241724.9777,20.5,1390.29
2025-07-21,2872.92165162,462219378051.57166,20.4,1381.22
2025-07-22,3786.96358711,609289476098.9673,21.22,1381.58
2025-07-23,2811.97735564,453362176954.5744,21.09,1375.38
2025-07-24,3152.49032557,507228871474.401,21.45,1371.0
2025-07-25,3717.26093958,591094436544.8923,21.68,1382.92
2025-07-28,1965.04115109,318896751087.77277,22.33,1388.21
2025-07-29,2026.48907375,330437712270.60486,22.34,1390.63
2025-07-30,1595.7590075500002,259898484501.0593,22.82,1391.58
2025-07-31,1939.8478511,316455213478.9245,21.85,1396.19
2025-08-01,3965.05525543,635060156012.3889,25.87,1388.34
2025-08-04,1526.52497747,244729110351.191,24.05,1385.71
2025-08-05,1657.54620875,264479860629.68634,22.31,1386.64
2025-08-06,1318.10728967,210469240563.31525,21.93,1384.64
2025-08-07,1976.3242805300001,318007831287.5004,21.08,1386.05
2025-08-08,1994.4479769,320792294204.28625,20.79,1389.7
2025-08-11,4478.3901133,740631162003.6505,20.34,1392.74
2025-08-12,2948.81674715,483731373757.0043,21.15,1385.4
2025-08-13,3500.6166997600003,578499516433.1392,20.11,1378.9
2025-08-14,5967.17938286,990577400341.7302,20.46,1390.59
2025-08-15,2047.22213719,336660825034.9575,20.915,1387.87
2025-08-18,2847.6372108,459022582585.22876,21.37,1387.34
2025-08-19,2802.22880603,447389743457.8806,21.5,1392.04
2025-08-20,2529.33767058,401295137262.8605,22.13,1397.7
2025-08-21,1609.83410138,255284216575.40546,21.38,1401.88
2025-08-22,4254.15824624,680630828442.5867,21.09,1381.71
2025-08-25,3895.2529927900005,610011493941.8949,20.1,1389.06
2025-08-26,3207.1190700899997,498349300033.8443,20.37,1393.52
2025-08-27,2095.97844865,326612001942.6444,19.97,1394.54
2025-08-28,1699.4235073300001,266527263019.14282,19.31,1384.85
2025-08-29,3832.54881432,588903416429.8188,19.52,1389.76
2025-09-02,2618.88099438,401978125464.6451,19.57,1394.76
2025-09-03,1535.67828329,237981515684.81866,19.74,1389.21
2025-09-04,1424.24020148,220292263952.84763,19.26,1394.8
2025-09-05,2396.78661747,374418433428.5801,18.43,1385.28
2025-09-08,1325.4309234,206272187247.41217,18.36,1386.29
2025-09-09,2003.8575253100003,312443132196.30786,18.7,1388.16
2025-09-10,2207.29296685,346216940828.3496,20.38,1386.97
2025-09-11,2214.45274098,351880107062.44226,20.06,1388.97
2025-09-12,2144.55783869,344335359414.9814,20.61,1394.06
2025-09-15,1954.87277106,313698946114.92456,20.71,1385.09
2025-09-16,1392.62811681,224257059096.21707,21.03,1381.49
2025-09-17,2180.0954184800003,352917836788.51746,21.1,1375.5
2025-09-18,2524.02355261,410218024972.8018,20.69,1388.51
2025-09-19,1825.87717844,296664991345.86523,20.68,1397.43
2025-09-22,4010.15654413,642185646263.5875,20.94,1392.4
2025-09-23,1654.02887887,264889410198.34186,20.98,1394.28
2025-09-24,1446.15249915,231616126415.73718,21.2,1404.7
2025-09-25,2545.52233153,406162176969.47595,20.62,1408.67
2025-09-26,2242.202552,355030161909.9336,21.77,1410.05
2025-09-29,2118.36944314,341588021420.7315,20.96,1399.76
2025-09-30,1893.12172099,307788385730.31726,20.62,1404.63
2025-10-01,3203.4847078800003,529241310214.1821,20.55,1402.45
2025-10-02,3583.27374268,605565664368.4556,22.34,1406.72
2025-10-03,2963.88571359,508237658549.19714,22.34,1406.16
2025-10-06,3344.30165982,593628432687.1066,22.34,1410.47
2025-10-07,4181.82463418,739233259231.9423,22.73,1413.12
2025-10-08,3315.96215851,588022237658.3917,23.119999999999997,1424.17
2025-10-09,3582.36400706,637564448729.2268,23.509999999999998,1423.68
