Date,Unique Addresses,Number of Transactions,Hash Rate (TH/s),Total Bitcoins in Circulation,Output Volume (BTC),Search Interest
2024-12-04,606514.0,502912.0,759383340.0141702,19791209.375,855006.8286922212,61.352498395035305
2024-12-05,676971.0,512490.0,800710324.5047373,19791728.125,1458064.4692313098,146.07737713103643
2024-12-06,589966.0,414643.0,702558736.3396405,19792246.875,1058922.3147943672,89.10720004993223
2024-12-09,548218.0,403264.0,862700801.2405878,19793812.5,965813.9332878764,64.27404593765603
2024-12-10,637676.0,441944.0,795544451.4434165,19794073.4375,839573.4783076796,67.19559348027676
2024-12-11,617471.0,481168.0,733553974.7075658,19794334.375,858938.2981387884,61.352498395035305
2024-12-12,642365.0,474978.0,764549213.0754911,19794856.25,733417.2016895034,61.352498395035305
2024-12-13,622796.0,523585.0,878198420.4245505,19795375.0,738903.0206815624,52.58785576717312
2024-12-16,628257.0,412747.0,796354777.917631,19796934.375,944149.5981226348,74.49946233682859
2024-12-17,587955.0,419707.0,733677850.1420219,19797453.125,899983.4775437801,65.7348197089664
2024-12-18,583495.0,414366.0,776835370.7386113,19797971.875,863124.9377957653,64.27404593765603
2024-12-19,634202.0,437574.0,782230060.8131851,19798235.9375,941187.6699843898,70.11714102289748
2024-12-20,640920.0,398670.0,814598201.2606272,19798500.0,970347.569439368,81.8033311933804
2024-12-23,528563.0,292681.0,749861920.3657429,19800075.0,949013.5962306652,55.509403309793846
2024-12-24,543738.0,326570.0,712099089.8437271,19800593.75,657352.1819701063,56.97017708110421
2024-12-26,488028.0,298916.0,706704399.7691535,19801117.1875,603281.5561685289,54.04862953848348
2024-12-27,568492.0,348241.0,852361031.782643,19801640.625,649887.8516713751,51.12708199586275
2024-12-30,546526.0,374721.0,867710155.9849901,19803200.0,871546.387972725,49.66630822455239
2024-12-31,545227.0,312513.0,703991258.6293316,19803718.75,828260.9477125912,45.283986910621294
2025-01-02,536381.0,402440.0,911368528.6131656,19804756.25,634979.2361194293,51.12708199586275
2025-01-03,580296.0,409341.0,774936114.1501169,19805275.0,674687.3423459273,46.74476068193166
2025-01-06,552854.0,366260.0,725820444.9434196,19806318.75,737125.5617071895,52.58785576717312
2025-01-07,534903.0,352121.0,731277741.5219413,19806840.625,808630.969284022,54.04862953848348
2025-01-08,545474.0,399976.0,682162072.3152436,19807362.5,784665.2639107796,49.66630822455239
2025-01-09,551517.0,534013.0,829509079.9353366,19807884.375,750688.58405636,51.12708199586275
2025-01-10,555569.0,408769.0,774936114.1501169,19808406.25,916240.991515866,46.74476068193166
2025-01-13,527739.0,408248.0,702796044.3776932,19809443.75,641005.6302590541,49.66630822455239
2025-01-14,555702.0,352684.0,845551490.8919123,19809962.5,775592.483289918,45.283986910621294
2025-01-15,562243.0,354014.0,763192579.4414012,19810487.5,852579.1752953441,48.205534453242024
2025-01-16,552617.0,375439.0,702796044.3776932,19811006.25,902568.8484161457,45.283986910621294
2025-01-17,609681.0,425661.0,823589114.5051093,19811525.0,928946.3054353992,59.89172462372494
2025-01-21,576234.0,324412.0,730249014.861197,19813087.5,875424.5793068056,70.11714102289748
2025-01-22,563550.0,432369.0,823589114.5051093,19813606.25,794429.9219138741,56.97017708110421
2025-01-23,559393.0,326010.0,746720797.1512991,19814128.125,853792.9981274175,59.89172462372494
2025-01-24,555324.0,369243.0,768683173.5381019,19814646.875,704594.1043631484,56.97017708110421
2025-01-27,536813.0,332102.0,841602268.6110247,19815690.625,688610.6450814432,61.352498395035305
2025-01-28,526610.0,305953.0,795344639.2008113,19816212.5,535465.0216653026,51.12708199586275
2025-01-29,536882.0,355332.0,832962291.0549035,19816746.875,674853.8129454331,45.283986910621294
2025-01-30,563297.0,335134.0,779222788.4062003,19817265.625,640502.2747973717,43.82321313931093
2025-01-31,573440.0,328684.0,671743783.1087936,19817784.375,695031.4465801892,42.362439368000565
2025-02-03,594369.0,360484.0,822214390.5251629,19819343.75,876169.4756701029,72.34040706316878
2025-02-04,533329.0,308619.0,703987484.6980155,19819603.125,733042.3244044902,51.36168901484984
2025-02-05,549668.0,381126.0,773848838.1413299,19819862.5,703165.866151592,45.57445644979634
2025-02-06,556046.0,428326.0,779222788.4062003,19820381.25,621613.1045917249,41.9574360966379
2025-02-07,547121.0,498394.0,929693395.82257,19820903.125,540986.5617418498,40.510627955374524
2025-02-10,506614.0,359522.0,788864727.616627,19822490.625,577459.3863082707,34.723395390321016
2025-02-11,527971.0,337513.0,703735440.4637535,19822751.5625,596692.0503578433,36.17020353158439
2025-02-12,524479.0,386539.0,754813012.7554775,19823012.5,571134.6488628598,36.17020353158439
2025-02-13,554664.0,379906.0,896695158.0102665,19823534.375,599946.5143420058,33.99999131968933
2025-02-14,555378.0,346002.0,862643443.1491172,19824053.125,626832.528904628,33.99999131968933
2025-02-18,505135.0,422709.0,794540013.4268184,19826134.375,602417.8034707359,37.61701167284777
2025-02-19,504104.0,448569.0,715086012.0841366,19826393.75,646574.3940608707,33.27658724905764
2025-02-20,528372.0,480465.0,737787155.324903,19826653.125,712996.3413949646,33.99999131968933
2025-02-21,539520.0,459909.0,732111869.5147113,19827171.875,776218.8796220354,36.89360760221608
2025-02-24,502390.0,514086.0,714530229.8374169,19827950.0,797420.0605861305,34.723395390321016
2025-02-25,593036.0,497063.0,807968798.3546175,19828728.125,1342314.4878907008,67.27657856874697
2025-02-26,551544.0,403575.0,862932662.1882651,19829250.0,1304559.6801679595,57.87232565053503
2025-02-27,559897.0,325162.0,824457957.5047117,19829768.75,978750.8724108648,52.80849715611321
2025-02-28,639073.0,386183.0,857436275.8049003,19830287.5,959889.521638162,71.6170029925371
2025-03-03,574113.0,374224.0,824457957.5047117,19831843.75,918110.1340647176,66.55317449811528
2025-03-04,572405.0,304773.0,802472411.9712528,19832103.125,716490.7653132618,57.87232565053503
2025-03-05,553079.0,309176.0,736515775.3708757,19832362.5,637121.1964791361,49.191476802954774
2025-03-06,582749.0,370349.0,934385685.1720064,19832890.625,745382.9592287063,46.297860520428024
2025-03-07,575233.0,313588.0,780486866.4377937,19833409.375,794877.2781499162,60.042537862430095
2025-03-10,561710.0,446224.0,858547242.188255,19834965.625,793936.4406689026,62.21275007432516
2025-03-11,555242.0,376740.0,769347528.7141508,19835484.375,839354.3377643365,58.59572972116672
2025-03-12,537118.0,428828.0,852972260.0961236,19836006.25,728907.7670192188,45.57445644979634
2025-03-13,548028.0,532638.0,886422152.6489124,19836531.25,622082.5265915043,42.68084016726959
2025-03-14,558542.0,439189.0,791647457.0826768,19837314.0625,558307.4949914808,41.23403202600621
2025-03-17,511394.0,380493.0,780497492.8984137,19838096.875,565930.725139535,37.61701167284777
2025-03-18,520296.0,369237.0,791647457.0826768,19838615.625,573466.2977525638,37.61701167284777
2025-03-19,523412.0,441661.0,847397278.0039921,19839134.375,557514.7272005888,36.89360760221608
2025-03-20,538832.0,337973.0,791647457.0826768,19839653.125,594456.2227735356,35.446799460952704
2025-03-21,542213.0,321230.0,808372403.3590714,19840431.25,503425.7124816587,31.10637503716258
2025-03-24,542968.0,483673.0,870857131.0489082,19841209.375,550865.5085339503,36.17020353158439
2025-03-25,537123.0,505859.0,842582548.8719956,19841731.25,606946.8047962261,33.27658724905764
2025-03-26,551045.0,515068.0,859547298.1781431,19842250.0,584772.3104568687,33.27658724905764
2025-03-27,546963.0,437476.0,836927632.4366131,19842771.875,557973.8304889845,31.10637503716258
2025-03-28,555512.0,397685.0,870857131.0489082,19843300.0,688099.5094018162,29.659566895899204
2025-03-31,536233.0,318279.0,836927632.4366131,19844340.625,710598.7531346937,36.89360760221608
2025-04-01,577515.0,356323.0,763413718.7766403,19844865.625,572955.3409079915,35.446799460952704
2025-04-02,561041.0,399055.0,972645626.8857932,19845387.5,604393.7166311253,36.17020353158439
2025-04-03,576015.0,392043.0,859547298.1781431,19845912.5,669511.8752732129,44.85105237916465
2025-04-04,568203.0,429861.0,1017884958.3688536,19846434.375,585001.7853769639,41.23403202600621
2025-04-07,561612.0,309387.0,875826848.0097468,19847996.875,792091.204218502,67.99998263937866
2025-04-08,560881.0,363972.0,924148329.2792498,19848518.75,611653.2591485381,47.7446686616914
2025-04-09,553980.0,317312.0,791264255.7881161,19849065.625,790622.8431756304,51.36168901484984
2025-04-10,559681.0,322464.0,869786662.851059,19849326.5625,681608.0396443136,42.68084016726959
2025-04-11,574941.0,405030.0,893947403.4858105,19849587.5,668781.4973677787,39.06381981411115
2025-04-14,531419.0,441688.0,899987588.6444983,19851156.25,536097.8877530411,33.27658724905764
2025-04-15,547445.0,442899.0,869786662.851059,19851675.0,669078.3395093724,31.10637503716258
2025-04-16,543869.0,507129.0,893947403.4858105,19852196.875,536376.136132394,30.38297096653089
2025-04-17,545464.0,557181.0,924148329.2792498,19852715.625,745056.250151734,28.936162825267516
2025-04-18,515292.0,508733.0,821465181.5815556,19853234.375,532546.999969825,25.319142472109075
2025-04-21,493498.0,444986.0,771877846.401681,19854271.875,589521.3540403852,33.99999131968933
2025-04-22,569473.0,518267.0,949532271.367147,19854790.625,757426.9810193535,38.340415743479454
2025-04-23,546333.0,418203.0,698365670.5539016,19855050.0,961186.401919533,39.787223884742836
2025-04-24,569545.0,464739.0,863768066.2114046,19855309.375,754817.8051796644,33.27658724905764
2025-04-25,595179.0,392451.0,882146110.1733494,19855828.125,775016.1736633416,33.27658724905764
2025-04-28,513795.0,409765.0,863768066.2114046,19857387.5,702041.0722047687,30.38297096653089
2025-04-29,526876.0,467725.0,894398139.4813126,19857906.25,723115.9187372631,29.659566895899204
2025-04-30,558028.0,350729.0,808633934.3255703,19858165.625,661001.8623985085,28.936162825267516
2025-05-01,555979.0,331199.0,827011978.2875152,19858425.0,771855.5763600261,33.01273531967794
2025-05-02,613025.0,379268.0,974036329.9830736,19858943.75,765642.3131637236,29.776192641278143
2025-05-05,531867.0,402262.0,1036227714.9300332,19860512.5,815056.4046041573,28.481575569918224
2025-05-06,526919.0,332218.0,817139569.4876828,19861031.25,734327.5573693127,27.186958498558305
2025-05-07,559340.0,343011.0,894116485.453914,19861550.0,740016.233072401,27.834267034238263
2025-05-08,592201.0,373813.0,941486895.2792872,19862068.75,739797.9218478217,44.664288961917215
2025-05-09,603053.0,334543.0,828982171.944026,19862851.5625,841081.9863683009,44.016980426237254
2025-05-12,532368.0,378285.0,858588678.0848842,19863634.375,693884.7082989878,41.427746283517415
2025-05-13,534997.0,295785.0,769769159.6623099,19864159.375,754872.7891448047,37.54389506943766
2025-05-14,535430.0,326818.0,852667376.8567126,19864678.125,715424.2059721074,33.6600438553579
2025-05-15,540779.0,374153.0,864509979.3130558,19865203.125,757969.3030447084,29.776192641278143
2025-05-16,539053.0,363786.0,805296967.0313396,19865982.8125,635205.4907823753,33.01273531967794
2025-05-19,499650.0,585883.0,852722089.09428,19866762.5,648502.7812014524,34.95466092671782
2025-05-20,536030.0,569769.0,895055809.829457,19867281.25,705432.5311724665,34.30735239103786
2025-05-21,567751.0,422191.0,870865112.2664988,19867803.125,838198.9085360512,47.253523104637054
2025-05-22,612816.0,467803.0,907151158.610936,19868325.0,1035240.0950010672,62.14161942527612
2025-05-23,571289.0,444625.0,937389530.5646338,19868843.75,824826.2545425309,45.31159749759717
2025-05-27,508812.0,422984.0,852722089.09428,19870415.625,628902.9823142351,38.191203605117614
2025-05-28,546095.0,541153.0,991818600.08129,19870937.5,722724.0451447681,39.48582067647754
2025-05-29,542154.0,382859.0,961580228.1275918,19871456.25,598103.0205054352,38.838512140797576
2025-05-30,594597.0,396232.0,937389530.5646338,19871975.0,706212.2701788045,33.6600438553579
2025-06-02,516152.0,346488.0,839539043.1681639,19873546.875,768909.2633130939,30.4235011769581
2025-06-03,560813.0,358895.0,908974603.1294404,19874065.625,780151.3151040742,30.4235011769581
2025-06-04,545490.0,337037.0,795352777.73826,19874325.0,697810.5119017401,29.128884105598182
2025-06-05,562558.0,320509.0,845851366.801007,19874584.375,686312.9036390813,32.36542678399798
2025-06-06,543873.0,298643.0,845851366.801007,19875112.5,629079.951470367,34.30735239103786
2025-06-09,506842.0,361275.0,883725308.5980667,19876668.75,589885.2286426114,34.30735239103786
