Date,volume_btc,trade_value_krw,KOSPI_Volatility,USD_KRW
2024-09-16,5302.26688134,414778731009.2315,0.0,1320.45
2024-09-17,5844.59593596,471175533041.8511,0.0,1318.6
2024-09-18,7102.08223169,572841740354.7007,0.0,1319.09
2024-09-19,10417.57288287,874640483367.3202,22.16,1326.86
2024-09-20,6859.87433675,578933714341.7834,21.0,1331.64
2024-09-23,3643.99248054,310122763897.62274,21.49,1333.62
2024-09-24,2654.39607419,224823565480.1072,22.26,1325.18
2024-09-25,2511.47536394,213647023247.7772,23.91,1333.54
2024-09-26,3659.51867424,312475402635.7971,25.63,1312.72
2024-09-27,3321.41300666,288406690510.56067,25.4,1308.3
2024-09-30,4211.82162048,354316712682.444,25.44,1317.01
2024-10-01,6975.25698373,578630854190.965,0.0,1323.77
2024-10-02,7457.10906767,610157168582.4348,25.89,1323.82
2024-10-03,4642.00371178,380103067520.4144,0.0,1333.21
2024-10-04,4627.877416560001,384554632674.3007,25.84,1346.41
2024-10-07,5247.82894811,448077805047.4291,25.41,1345.15
2024-10-08,4094.502364810001,346801563195.651,25.62,1339.28
2024-10-09,3579.25810618,299360595889.5601,0.0,1345.7
2024-10-10,4881.412901690001,401341600564.5488,23.27,1349.15
2024-10-11,5206.78349518,435326644107.2242,21.99,1348.41
2024-10-15,10020.21665908,891708281603.9495,21.24,1363.65
2024-10-16,8047.30589863,736527165126.2981,21.65,1363.7
2024-10-17,5114.54655483,468408485099.3623,21.09,1369.84
2024-10-18,5993.03258895,557029870236.9668,20.75,1368.37
2024-10-21,6899.04064909,638063329340.9036,20.9,1379.02
2024-10-22,5254.68506923,486394900391.77673,21.7,1378.27
2024-10-23,4309.50763881,396393255928.6909,21.54,1379.93
2024-10-24,5430.41396412,507859884873.39343,22.09,1378.55
2024-10-25,6157.228465120001,580365941466.4048,22.12,1387.95
2024-10-28,5813.37199652,558320585921.0583,21.92,1382.09
2024-10-29,10015.81325099,999395987157.5868,21.44,1383.24
2024-10-30,7532.30766587,756203619610.237,21.55,1378.27
2024-10-31,6389.4450371,632460366472.5042,22.65,1372.58
2024-11-01,9331.52004975,916803994275.8596,22.95,1378.48
2024-11-04,6665.1704634,633279936118.4617,22.83,1372.6
2024-11-05,8898.60204699,860617664885.97,22.52,1376.88
2024-11-06,30022.55076711,3053222295129.4644,20.72,1400.36
2024-11-07,10248.57827425,1060218297335.9246,19.77,1379.89
2024-11-08,9111.7666779,961061381336.2437,19.03,1396.23
2024-11-12,31368.10941499,3888584810660.467,21.62,1405.8
2024-11-13,19214.88655358,2451497380328.296,24.86,1404.09
2024-11-14,19089.0687966,2423677374496.16,23.41,1404.75
2024-11-15,13064.48984049,1649000530552.9111,21.74,1393.68
2024-11-18,6782.961119310001,863969812269.8625,21.09,1390.5
2024-11-19,6627.57142692,854845751421.6149,20.01,1392.32
2024-11-20,7894.71502037,1038444232444.0812,19.93,1398.02
2024-11-21,13459.67559617,1834660866206.474,19.46,1399.15
2024-11-22,11340.28008004,1545738572388.2676,18.91,1402.4
2024-11-25,6724.20152769,895543080780.508,18.59,1398.06
2024-11-26,9644.98054681,1251500370554.89,18.5,1396.24
2024-11-27,5713.60863451,749911178356.1221,18.2,1388.58
2024-11-29,4403.87187631,593613073759.6084,19.34,1394.67
