date,value
2025-04-30,36
2025-05-01,50
2025-05-02,49
2025-05-03,40
2025-05-04,40
2025-05-05,47
2025-05-06,42
2025-05-07,45
2025-05-08,73
2025-05-09,66
2025-05-10,54
2025-05-11,53
2025-05-12,67
2025-05-13,60
2025-05-14,53
2025-05-15,49
2025-05-16,55
2025-05-17,40
2025-05-18,45
2025-05-19,55
2025-05-20,56
2025-05-21,74
2025-05-22,100
2025-05-23,75
