date,value
2025-03-22,28
2025-03-23,30
2025-03-24,36
2025-03-25,30
2025-03-26,28
2025-03-27,26
2025-03-28,30
2025-03-29,27
2025-03-30,25
2025-03-31,31
2025-04-01,23
2025-04-02,30
2025-04-03,30
2025-04-04,33
2025-04-05,24
2025-04-06,36
2025-04-07,55
2025-04-08,31
2025-04-09,40
2025-04-10,30
2025-04-11,29
2025-04-12,27
2025-04-13,30
2025-04-14,29
2025-04-15,26
2025-04-16,28
2025-04-17,23
2025-04-18,22
2025-04-19,23
2025-04-20,24
2025-04-21,28
2025-04-22,32
2025-04-23,31
2025-04-24,24
2025-04-25,29
2025-04-26,23
2025-04-27,22
2025-04-28,24
2025-04-29,23
2025-04-30,23
2025-05-01,56
2025-05-02,52
2025-05-03,40
2025-05-04,46
2025-05-05,46
2025-05-06,50
2025-05-07,47
2025-05-08,81
2025-05-09,70
2025-05-10,64
2025-05-11,66
2025-05-12,70
2025-05-13,64
2025-05-14,61
2025-05-15,60
2025-05-16,49
2025-05-17,48
2025-05-18,60
2025-05-19,59
2025-05-20,52
2025-05-21,74
2025-05-22,100
2025-05-23,74
